prediction,label,sentID,text,speakerID
1,0,S28F_558,no no,S0255
1,0,S28F_917,you want another I always find with wine,S0315
1,0,S38V_150,if you just put a hobbyhorse on this balcony,S0192
1,0,S38V_1591,can they just stand up for now?,S0192
1,0,S3LE_1234,excuse me oh sorry let me just take that away,UNKFEMALE
1,0,S3LE_1640,and like I've never I actually got treated really well cos they obviously felt very sorry for me so I've never eaten so much food in my life like I ordered what did I I order?,S0336
1,0,S3LE_1719,what were you gonna say? tell them,S0336
1,0,S3MW_256,go on?,S0615
1,0,S457_802,are you gonna mention the fact that,S0525
1,0,S4QK_341,so I'm just gonna play dumb,S0246
1,0,S4QK_97,get one of those?,S0245
1,0,S5XD_231,and she's like I donated this money to charity I'm like hang on a minute you eat like you drink like three litres of Coke every day and eat chocolate coming out your ass and like you feed your kids this shit,S0192
1,0,S5XD_281,you didn't bring one?,S0192
1,0,S632_1377,have you finished with the er oven?,S0202
1,0,S632_25,have you just come up for that? oh no,S0208
1,0,S632_2684,I want,S0211
1,0,S632_3243,no you,S0211
1,0,S632_3267,can I pass one lot?,S0221
1,0,S632_3766,here you go oh just bring the bottle it's fine,S0202
1,0,S632_4660,I don't mind,S0221
1,0,S632_6003,no no give us the fucking nah,S0220
1,0,S632_6007,you only ordered cheesy chips and a garlic bread,S0221
1,0,S632_6483,no no no no no,S0202
1,0,S632_6967,come on,S0202
1,0,S632_7142,hello you order some delivery?,UNKMALE
1,0,S682_1131,yeah give it a try,S0192
1,0,S6BR_143,data roaming's off ah hang on creating a secure connection,S0456
1,0,S6BS_980,go on go,S0594
1,0,S6H4_185,excuse me that's not nice,S0415
1,0,S6W8_2879,no I'll stick them on,S0496
1,0,S6W8_2898,you can take two colour cards if you don't want any of these take two from the pack,S0493
1,0,S6W8_3652,Come See About Me is,S0497
1,0,S6W8_3657,Come See About Me,S0497
1,0,S7UX_29,oh yes please,S0144
1,0,S7UX_345,who's got any brick?,S0012
1,0,S7UX_453,uh I'll go for wheat,S0144
1,0,S8CW_432,they just wanna listen they wanna be entertained,S0305
1,0,S968_1173,yeah go on,S0493
1,0,S968_2139,is there no more cards coming out? oh yeah,S0494
1,0,S968_317,go on then,S0497
1,0,S985_1264,bring your own booze situation,S0336
1,0,S985_595,well that's what I'm saying if we all write down what we'd have and any overlaps we'll order just one,S0336
1,0,S985_620,there's no beef dish well order some chow mein,S0346
1,0,SA2J_2385,hold your hands up and go under,S0525
1,0,SA2J_3282,yeah it'll be nice,S0622
1,0,SA2J_546,right hang on so,S0525
1,0,SA2J_97,without the pasta? can I have the erm knob,S0617
1,0,SAUR_2045,and now you take one of these cards,S0192
1,0,SAUR_2490,oh so you might wanna play that card,S0192
1,0,SAUR_3350,I can take some more cards without moving can I not?,S0227
1,0,SAUR_3715,I can only help a little,S0190
1,0,SAUR_4186,er but doesn't that come back on again?,S0227
1,0,SAUR_4393,okay so we need a ten purple red blue,S0192
1,0,SAUR_882,er er can I look at it?,S0190
1,0,SAZX_1493,can I have pity token that I can play with?,S0592
1,0,SAZX_2083,let's flip the let's roll the dice,S0602
1,0,SAZX_269,can I help read out some of the questions?,S0592
1,0,SAZX_457,yeah yeah they can can't they? can you pass me over my cake please?,S0600
1,0,SAZX_571,that'll be twenty please,S0601
1,0,SB4D_257,just eat put a bit in your mouth put it in your mouth please,S0199
1,0,SD6X_1948,shall we er we get the bill?,S0058
1,0,SD6X_2057,oh just to ask to bring anything? Well he could bring a bottle of something or some garlic bread,S0058
1,0,SD6X_2148,ah er hang on,S0058
1,0,SD6X_491,you can't get random people to sign your,S0179
1,0,SDFL_1541,trifle please,S0154
1,0,SDFL_2083,have we got them have we?,S0012
1,0,SE3Y_549,give it time,S0192
1,0,SE6F_522,just just keep on them,S0337
